<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
HPQ,0,20121115,125415,12.99000,100
HPQ,0,20121115,125415,12.99000,300
HPQ,0,20121115,125415,12.99000,200
HPQ,0,20121115,125415,12.99000,200
HPQ,0,20121115,125433,13.00000,300
HPQ,0,20121115,125433,13.00000,100
HPQ,0,20121115,125433,13.00000,400
HPQ,0,20121115,125433,13.00000,300
HPQ,0,20121115,125433,13.00000,400
HPQ,0,20121115,125433,13.00000,200
HPQ,0,20121115,125433,13.00000,300
HPQ,0,20121115,125441,13.00000,600
HPQ,0,20121115,125441,13.00000,121
HPQ,0,20121115,125441,13.00000,200
HPQ,0,20121115,125441,13.00000,100
HPQ,0,20121115,125441,13.00000,100
HPQ,0,20121115,125447,12.99000,200
HPQ,0,20121115,125455,12.99000,500
HPQ,0,20121115,125455,12.99000,100
HPQ,0,20121115,125455,12.99000,200
HPQ,0,20121115,125455,12.99000,100
HPQ,0,20121115,125455,12.99000,600
HPQ,0,20121115,125455,12.99000,500
HPQ,0,20121115,125517,12.99000,800
HPQ,0,20121115,125517,12.99000,700
HPQ,0,20121115,125517,12.99000,1000
HPQ,0,20121115,125517,12.99000,200
HPQ,0,20121115,125517,12.99000,200
HPQ,0,20121115,125517,12.99000,200
HPQ,0,20121115,125517,12.99000,100
HPQ,0,20121115,125517,12.99000,100
HPQ,0,20121115,125517,12.99000,100
HPQ,0,20121115,125517,12.99000,100
HPQ,0,20121115,125559,12.99000,600
HPQ,0,20121115,125559,12.99000,500
HPQ,0,20121115,125559,12.99000,200
HPQ,0,20121115,125559,12.99000,200
HPQ,0,20121115,125559,12.99000,100
HPQ,0,20121115,125559,12.99000,100
HPQ,0,20121115,125559,12.99000,100
HPQ,0,20121115,125609,12.99000,700
HPQ,0,20121115,125609,12.99000,300
HPQ,0,20121115,125609,12.99000,100
HPQ,0,20121115,125609,12.99000,100
HPQ,0,20121115,125734,13.00000,500
HPQ,0,20121115,125734,13.00000,121
HPQ,0,20121115,125734,13.00000,179
HPQ,0,20121115,125734,13.00000,400
HPQ,0,20121115,125735,13.00000,300
HPQ,0,20121115,125735,13.00000,200
